model,term,n,r_squared,coef,std_error,p_value,note
cue_only,const,50,0.09715820439954703,0.047776894479725905,0.02073519457380556,0.021214506541536157,OLS with HC3 robust SE
cue_only,cue_disruption,50,0.09715820439954703,0.11343112486846627,0.06206350732372658,0.06760026804822382,OLS with HC3 robust SE
correctness_only,const,50,0.003727938499328287,0.08309633420511502,0.021517905597371375,0.0001125871100173348,OLS with HC3 robust SE
correctness_only,factual_score_delta,50,0.003727938499328287,-0.03989847988679624,0.31182289341651437,0.8981866621495953,OLS with HC3 robust SE
length_only,const,50,0.032524053041472545,0.07877155246004852,0.013338347009909608,3.512680477259542e-09,OLS with HC3 robust SE
length_only,output_length_delta_tokens,50,0.032524053041472545,0.000412135388819594,0.0006189410673704813,0.505493061017952,OLS with HC3 robust SE
cue_correctness_length,const,50,0.13296618871526045,0.0417021575960829,0.021977172425156205,0.05775914147800844,OLS with HC3 robust SE
cue_correctness_length,cue_disruption,50,0.13296618871526045,0.11660403326382628,0.07668981157715053,0.12839461089707432,OLS with HC3 robust SE
cue_correctness_length,factual_score_delta,50,0.13296618871526045,0.0404922833632545,0.3244550540821391,0.9006811733926784,OLS with HC3 robust SE
cue_correctness_length,output_length_delta_tokens,50,0.13296618871526045,0.0004672526637980467,0.0006816261982760795,0.49303039957179795,OLS with HC3 robust SE
expanded,const,50,0.15006019854030384,0.04882426646557738,0.061133239120683996,0.4244914412883499,OLS with HC3 robust SE
expanded,cue_disruption,50,0.15006019854030384,0.10409045199788482,0.08834538339897058,0.23870821483077698,OLS with HC3 robust SE
expanded,question_content_recall,50,0.15006019854030384,-0.013580940587377506,0.08330318217381427,0.8704945985995888,OLS with HC3 robust SE
expanded,question_context_content_overlap_loss,50,0.15006019854030384,-0.15178096474939407,0.13403181640744757,0.2574558461616293,OLS with HC3 robust SE
expanded,factual_score_delta,50,0.15006019854030384,0.0450557447863878,0.33258410498107294,0.8922389126779635,OLS with HC3 robust SE
expanded,output_length_delta_tokens,50,0.15006019854030384,0.0004369894454917849,0.000796310330660245,0.5831648302833994,OLS with HC3 robust SE
