model,term,n,r_squared,coef,std_error,p_value,note
cue_only,const,50,0.08268649371586101,0.08490273863049369,0.022904570169341262,0.00020989174957875486,OLS with HC3 robust SE
cue_only,cue_disruption,50,0.08268649371586101,0.14335060521032097,0.07293186852563482,0.049351611694300884,OLS with HC3 robust SE
correctness_only,const,50,0.2907360196843519,0.1109238417930461,0.017757525733559654,4.1953163648071693e-10,OLS with HC3 robust SE
correctness_only,factual_score_delta,50,0.2907360196843519,-0.33706330871685364,0.15248000050558763,0.02706763107817255,OLS with HC3 robust SE
length_only,const,50,0.0773155977623523,0.12052460164542086,0.017296870144046836,3.2147684291838342e-12,OLS with HC3 robust SE
length_only,output_length_delta_tokens,50,0.0773155977623523,0.0003926670998732067,0.0003157915591854529,0.21370662027181864,OLS with HC3 robust SE
cue_correctness_length,const,50,0.32697326717400654,0.08231355635124588,0.022975229835230312,0.00034004971340280204,OLS with HC3 robust SE
cue_correctness_length,cue_disruption,50,0.32697326717400654,0.0855512108919594,0.058268010959178926,0.1420400374987755,OLS with HC3 robust SE
cue_correctness_length,factual_score_delta,50,0.32697326717400654,-0.28858695172065846,0.1838326407649423,0.11645345444766249,OLS with HC3 robust SE
cue_correctness_length,output_length_delta_tokens,50,0.32697326717400654,0.00014577948391519718,0.00017453956560535474,0.4035920836466246,OLS with HC3 robust SE
expanded,const,50,0.44529578163813466,0.2812211417815589,0.07869330104152097,0.00035205948155268667,OLS with HC3 robust SE
expanded,cue_disruption,50,0.44529578163813466,-0.06147050300063105,0.06206163193625395,0.3219419389467606,OLS with HC3 robust SE
expanded,question_content_recall,50,0.44529578163813466,-0.26231726686481766,0.09208422777243364,0.004390285645295974,OLS with HC3 robust SE
expanded,question_context_content_overlap_loss,50,0.44529578163813466,-0.2704431402706501,0.16890287496360953,0.10933806021142174,OLS with HC3 robust SE
expanded,factual_score_delta,50,0.44529578163813466,-0.3167972916386231,0.18483401042239542,0.08653687613913759,OLS with HC3 robust SE
expanded,output_length_delta_tokens,50,0.44529578163813466,-2.3572640221848427e-05,0.0002806172450800493,0.9330541888253766,OLS with HC3 robust SE
