feature,n,spearman_rho,p_value,feature_family
median_output_token_edit_distance_norm,50,0.6912898506843714,2.734095679028e-08,output
mean_output_token_edit_distance_norm,50,0.6779197088108608,6.365503668116699e-08,output
mean_output_char_edit_distance_norm,50,0.5541896758703482,2.9735324226055294e-05,output
output_length_ratio,50,0.5211230650044577,0.0001043685034307217,output
answer_compactness_loss_proxy,50,0.49083793350393234,0.0002957232803923328,output
output_length_delta_tokens,50,0.41512155291298525,0.0027206512664586656,output
style_expansion_proxy,50,0.41512155291298525,0.0027206512664586656,output
prompt_token_edit_distance_norm,50,0.39386299802464314,0.004655283834689076,prompt
answer_scope_proxy,50,0.3776176862015232,0.006860897994840031,output
question_token_edit_distance_norm,50,0.3691266009868075,0.008340148205460005,prompt
question_char_edit_distance_norm,50,0.33454981992797117,0.01756492717420417,prompt
question_length_delta_tokens,50,0.300271583386436,0.03411586233620863,prompt
prompt_length_delta_tokens,50,0.300271583386436,0.03411586233620863,prompt
question_length_ratio,50,0.29095857293137456,0.040370787333736065,prompt
question_context_content_overlap_delta,50,0.2665802250206215,0.06129641620275681,prompt
cue_disruption,50,0.25075754803573475,0.07900995652094744,prompt
prompt_char_edit_distance_norm,50,0.24129651860744294,0.09138929013326061,prompt
containment_rate_delta,50,-0.2078876786025711,0.14742460073254035,output
question_content_recall,50,-0.47655746495864765,0.00046772380982691345,prompt
factual_score_delta,50,-0.49083793350393234,0.0002957232803923328,output
