item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped
code_generation_107,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_107,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,paraphrasing,5,5,1.000000,0.000000,1.000000,1.000000,true
code_generation_109,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_109,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_117,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_128,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_138,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
code_generation_138,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
